injected_el measured_el potential
1 1 1.30523
1 2 1.30523
1 3 1.30523
1 4 1.30523
1 5 1.30523
1 6 1.1184
1 7 1.09724
1 8 1.08248
1 9 1.07572
2 1 1.30523
2 2 1.30523
2 3 1.30523
2 4 1.30523
2 5 1.30523
2 6 1.1184
2 7 1.09724
2 8 1.08248
2 9 1.07572
3 1 1.30523
3 2 1.30523
3 3 1.30523
3 4 1.30523
3 5 1.30523
3 6 1.1184
3 7 1.09724
3 8 1.08248
3 9 1.07572
4 1 1.30523
4 2 1.30523
4 3 1.30523
4 4 1.30523
4 5 1.30523
4 6 1.1184
4 7 1.09724
4 8 1.08248
4 9 1.07572
5 1 1.30523
5 2 1.30523
5 3 1.30523
5 4 1.30523
5 5 1.30523
5 6 1.1184
5 7 1.09724
5 8 1.08248
5 9 1.07572
6 1 1.1184
6 2 1.1184
6 3 1.1184
6 4 1.1184
6 5 1.1184
6 6 6.91951
6 7 2.14529
6 8 1.39516
6 9 1.20574
7 1 1.09724
7 2 1.09724
7 3 1.09724
7 4 1.09724
7 5 1.09724
7 6 2.14529
7 7 6.92642
7 8 1.99916
7 9 1.31355
8 1 1.08248
8 2 1.08248
8 3 1.08248
8 4 1.08248
8 5 1.08248
8 6 1.39516
8 7 1.99916
8 8 6.28443
8 9 1.54658
9 1 1.07572
9 2 1.07572
9 3 1.07572
9 4 1.07572
9 5 1.07572
9 6 1.20574
9 7 1.31355
9 8 1.54658
9 9 2.14871
