injected_el measured_el potential
1 73 1.11972
1 74 1.11972
1 75 1.11972
1 76 1.11972
1 77 1.11972
1 78 1.09683
1 79 1.08654
1 80 1.07749
1 81 1.07305
1 82 1.112
1 83 1.112
1 84 1.112
1 85 1.112
1 86 1.112
1 87 1.09262
1 88 1.08361
1 89 1.07554
1 90 1.07155
1 91 1.10174
1 92 1.10174
1 93 1.10174
1 94 1.10174
1 95 1.10174
1 96 1.08673
1 97 1.07951
1 98 1.07289
1 99 1.06958
1 100 1.09172
1 101 1.09172
1 102 1.09172
1 103 1.09172
1 104 1.09172
1 105 1.08047
1 106 1.07492
1 107 1.06975
1 108 1.06715
1 109 1.10199
1 110 1.10199
1 111 1.10199
1 112 1.10199
1 113 1.10199
1 114 1.08711
1 115 1.07992
1 116 1.07333
1 117 1.07005
1 118 1.09779
1 119 1.09779
1 120 1.09779
1 121 1.09779
1 122 1.09779
1 123 1.08433
1 124 1.07777
1 125 1.07172
1 126 1.06869
1 127 1.09159
1 128 1.09159
1 129 1.09159
1 130 1.09159
1 131 1.09159
1 132 1.08032
1 133 1.07475
1 134 1.06957
1 135 1.06696
1 136 1.08467
1 137 1.08467
1 138 1.08467
1 139 1.08467
1 140 1.08467
1 141 1.07567
1 142 1.07117
1 143 1.06695
1 144 1.06483
2 73 1.11972
2 74 1.11972
2 75 1.11972
2 76 1.11972
2 77 1.11972
2 78 1.09683
2 79 1.08654
2 80 1.07749
2 81 1.07305
2 82 1.112
2 83 1.112
2 84 1.112
2 85 1.112
2 86 1.112
2 87 1.09262
2 88 1.08361
2 89 1.07554
2 90 1.07155
2 91 1.10174
2 92 1.10174
2 93 1.10174
2 94 1.10174
2 95 1.10174
2 96 1.08673
2 97 1.07951
2 98 1.07289
2 99 1.06958
2 100 1.09172
2 101 1.09172
2 102 1.09172
2 103 1.09172
2 104 1.09172
2 105 1.08047
2 106 1.07492
2 107 1.06975
2 108 1.06715
2 109 1.10199
2 110 1.10199
2 111 1.10199
2 112 1.10199
2 113 1.10199
2 114 1.08711
2 115 1.07992
2 116 1.07333
2 117 1.07005
2 118 1.09779
2 119 1.09779
2 120 1.09779
2 121 1.09779
2 122 1.09779
2 123 1.08433
2 124 1.07777
2 125 1.07172
2 126 1.06869
2 127 1.09159
2 128 1.09159
2 129 1.09159
2 130 1.09159
2 131 1.09159
2 132 1.08032
2 133 1.07475
2 134 1.06957
2 135 1.06696
2 136 1.08467
2 137 1.08467
2 138 1.08467
2 139 1.08467
2 140 1.08467
2 141 1.07567
2 142 1.07117
2 143 1.06695
2 144 1.06483
3 73 1.11972
3 74 1.11972
3 75 1.11972
3 76 1.11972
3 77 1.11972
3 78 1.09683
3 79 1.08654
3 80 1.07749
3 81 1.07305
3 82 1.112
3 83 1.112
3 84 1.112
3 85 1.112
3 86 1.112
3 87 1.09262
3 88 1.08361
3 89 1.07554
3 90 1.07155
3 91 1.10174
3 92 1.10174
3 93 1.10174
3 94 1.10174
3 95 1.10174
3 96 1.08673
3 97 1.07951
3 98 1.07289
3 99 1.06958
3 100 1.09172
3 101 1.09172
3 102 1.09172
3 103 1.09172
3 104 1.09172
3 105 1.08047
3 106 1.07492
3 107 1.06975
3 108 1.06715
3 109 1.10199
3 110 1.10199
3 111 1.10199
3 112 1.10199
3 113 1.10199
3 114 1.08711
3 115 1.07992
3 116 1.07333
3 117 1.07005
3 118 1.09779
3 119 1.09779
3 120 1.09779
3 121 1.09779
3 122 1.09779
3 123 1.08433
3 124 1.07777
3 125 1.07172
3 126 1.06869
3 127 1.09159
3 128 1.09159
3 129 1.09159
3 130 1.09159
3 131 1.09159
3 132 1.08032
3 133 1.07475
3 134 1.06957
3 135 1.06696
3 136 1.08467
3 137 1.08467
3 138 1.08467
3 139 1.08467
3 140 1.08467
3 141 1.07567
3 142 1.07117
3 143 1.06695
3 144 1.06483
4 73 1.11972
4 74 1.11972
4 75 1.11972
4 76 1.11972
4 77 1.11972
4 78 1.09683
4 79 1.08654
4 80 1.07749
4 81 1.07305
4 82 1.112
4 83 1.112
4 84 1.112
4 85 1.112
4 86 1.112
4 87 1.09262
4 88 1.08361
4 89 1.07554
4 90 1.07155
4 91 1.10174
4 92 1.10174
4 93 1.10174
4 94 1.10174
4 95 1.10174
4 96 1.08673
4 97 1.07951
4 98 1.07289
4 99 1.06958
4 100 1.09172
4 101 1.09172
4 102 1.09172
4 103 1.09172
4 104 1.09172
4 105 1.08047
4 106 1.07492
4 107 1.06975
4 108 1.06715
4 109 1.10199
4 110 1.10199
4 111 1.10199
4 112 1.10199
4 113 1.10199
4 114 1.08711
4 115 1.07992
4 116 1.07333
4 117 1.07005
4 118 1.09779
4 119 1.09779
