x y z c
-0.25 -33 -19 0
0.25 -33 -19 0
0.75 -33 -19 0
1.25 -33 -19 0
1.75 -33 -19 0
2.25 -33 -19 0
2.75 -33 -19 0
3.25 -33 -19 0
3.75 -33 -19 0
4.25 -33 -19 0
4.75 -33 -19 0
5.25 -33 -19 0
5.75 -33 -19 0
6.25 -33 -19 0
6.75 -33 -19 0
7.25 -33 -19 0
7.75 -33 -19 0
8.25 -33 -19 0
8.75 -33 -19 0
9.25 -33 -19 0
9.75 -33 -19 0
10.25 -33 -19 0
10.75 -33 -19 0
11.25 -33 -19 0
11.75 -33 -19 0
12.5 -33 -19 0
13.5 -33 -19 0
14.5 -33 -19 0
15.5 -33 -19 0
16.5 -33 -19 0
17.5 -33 -19 0
18.5 -33 -19 0
19.5 -33 -19 0
20.5 -33 -19 0
21.5 -33 -19 0
22.5 -33 -19 0
23.5 -33 -19 0
24.5 -33 -19 0
25.5 -33 -19 0
26.5 -33 -19 0
27.5 -33 -19 0
28.5 -33 -19 0
29.5 -33 -19 0
31 -33 -19 0
33 -33 -19 0
36 -33 -19 0
40 -33 -19 0
44 -33 -19 0
48 -33 -19 0
-0.25 -29 -19 0
0.25 -29 -19 0
0.75 -29 -19 0
1.25 -29 -19 0
1.75 -29 -19 0
2.25 -29 -19 0
2.75 -29 -19 0
3.25 -29 -19 0
3.75 -29 -19 0
4.25 -29 -19 0
4.75 -29 -19 0
5.25 -29 -19 0
5.75 -29 -19 0
6.25 -29 -19 0
6.75 -29 -19 0
7.25 -29 -19 0
7.75 -29 -19 0
8.25 -29 -19 0
8.75 -29 -19 0
9.25 -29 -19 0
9.75 -29 -19 0
10.25 -29 -19 0
10.75 -29 -19 0
11.25 -29 -19 0
11.75 -29 -19 0
12.5 -29 -19 0
13.5 -29 -19 0
14.5 -29 -19 0
15.5 -29 -19 0
16.5 -29 -19 0
17.5 -29 -19 0
18.5 -29 -19 0
19.5 -29 -19 0
20.5 -29 -19 0
21.5 -29 -19 0
22.5 -29 -19 0
23.5 -29 -19 0
24.5 -29 -19 0
25.5 -29 -19 0
26.5 -29 -19 0
27.5 -29 -19 0
28.5 -29 -19 0
29.5 -29 -19 0
31 -29 -19 0
33 -29 -19 0
36 -29 -19 0
40 -29 -19 0
44 -29 -19 0
48 -29 -19 0
-0.25 -25 -19 0
0.25 -25 -19 0
0.75 -25 -19 0
1.25 -25 -19 0
1.75 -25 -19 0
2.25 -25 -19 0
2.75 -25 -19 0
3.25 -25 -19 0
3.75 -25 -19 0
4.25 -25 -19 0
4.75 -25 -19 0
5.25 -25 -19 0
5.75 -25 -19 0
6.25 -25 -19 0
6.75 -25 -19 0
7.25 -25 -19 0
7.75 -25 -19 0
8.25 -25 -19 0
8.75 -25 -19 0
9.25 -25 -19 0
9.75 -25 -19 0
10.25 -25 -19 0
10.75 -25 -19 0
11.25 -25 -19 0
11.75 -25 -19 0
12.5 -25 -19 0
13.5 -25 -19 0
14.5 -25 -19 0
15.5 -25 -19 0
16.5 -25 -19 0
17.5 -25 -19 0
18.5 -25 -19 0
19.5 -25 -19 0
20.5 -25 -19 0
21.5 -25 -19 0
22.5 -25 -19 0
23.5 -25 -19 0
24.5 -25 -19 0
25.5 -25 -19 0
26.5 -25 -19 0
27.5 -25 -19 0
28.5 -25 -19 0
29.5 -25 -19 0
31 -25 -19 0
33 -25 -19 0
36 -25 -19 0
40 -25 -19 0
44 -25 -19 0
48 -25 -19 0
-0.25 -21 -19 0
0.25 -21 -19 0
0.75 -21 -19 0
1.25 -21 -19 0
1.75 -21 -19 0
2.25 -21 -19 0
2.75 -21 -19 0
3.25 -21 -19 0
3.75 -21 -19 0
4.25 -21 -19 0
4.75 -21 -19 0
5.25 -21 -19 0
5.75 -21 -19 0
6.25 -21 -19 0
6.75 -21 -19 0
7.25 -21 -19 0
7.75 -21 -19 0
8.25 -21 -19 0
8.75 -21 -19 0
9.25 -21 -19 0
9.75 -21 -19 0
10.25 -21 -19 0
10.75 -21 -19 0
11.25 -21 -19 0
11.75 -21 -19 0
12.5 -21 -19 0
13.5 -21 -19 0
14.5 -21 -19 0
15.5 -21 -19 0
16.5 -21 -19 0
17.5 -21 -19 0
18.5 -21 -19 0
19.5 -21 -19 0
20.5 -21 -19 0
21.5 -21 -19 0
22.5 -21 -19 0
23.5 -21 -19 0
24.5 -21 -19 0
25.5 -21 -19 0
26.5 -21 -19 0
27.5 -21 -19 0
28.5 -21 -19 0
29.5 -21 -19 0
31 -21 -19 0
33 -21 -19 0
36 -21 -19 0
40 -21 -19 0
44 -21 -19 0
48 -21 -19 0
-0.25 -18 -19 0
0.25 -18 -19 0
0.75 -18 -19 0
1.25 -18 -19 0
1.75 -18 -19 0
2.25 -18 -19 0
2.75 -18 -19 0
3.25 -18 -19 0
3.75 -18 -19 0
4.25 -18 -19 0
4.75 -18 -19 0
5.25 -18 -19 0
5.75 -18 -19 0
6.25 -18 -19 0
6.75 -18 -19 0
7.25 -18 -19 0
7.75 -18 -19 0
8.25 -18 -19 0
8.75 -18 -19 0
9.25 -18 -19 0
9.75 -18 -19 0
10.25 -18 -19 0
10.75 -18 -19 0
11.25 -18 -19 0
11.75 -18 -19 0
12.5 -18 -19 0
13.5 -18 -19 0
14.5 -18 -19 0
15.5 -18 -19 0
16.5 -18 -19 0
17.5 -18 -19 0
18.5 -18 -19 0
19.5 -18 -19 0
20.5 -18 -19 0
21.5 -18 -19 0
22.5 -18 -19 0
23.5 -18 -19 0
24.5 -18 -19 0
25.5 -18 -19 0
26.5 -18 -19 0
27.5 -18 -19 0
28.5 -18 -19 0
29.5 -18 -19 0
31 -18 -19 0
33 -18 -19 0
36 -18 -19 0
40 -18 -19 0
44 -18 -19 0
48 -18 -19 0
-0.25 -16 -19 0
0.25 -16 -19 0
0.75 -16 -19 0
1.25 -16 -19 0
1.75 -16 -19 0
2.25 -16 -19 0
2.75 -16 -19 0
3.25 -16 -19 0
3.75 -16 -19 0
4.25 -16 -19 0
4.75 -16 -19 0
5.25 -16 -19 0
5.75 -16 -19 0
6.25 -16 -19 0
6.75 -16 -19 0
7.25 -16 -19 0
7.75 -16 -19 0
8.25 -16 -19 0
8.75 -16 -19 0
9.25 -16 -19 0
9.75 -16 -19 0
10.25 -16 -19 0
10.75 -16 -19 0
11.25 -16 -19 0
11.75 -16 -19 0
12.5 -16 -19 0
13.5 -16 -19 0
14.5 -16 -19 0
15.5 -16 -19 0
16.5 -16 -19 0
17.5 -16 -19 0
18.5 -16 -19 0
19.5 -16 -19 0
20.5 -16 -19 0
21.5 -16 -19 0
22.5 -16 -19 0
23.5 -16 -19 0
24.5 -16 -19 0
25.5 -16 -19 0
26.5 -16 -19 0
27.5 -16 -19 0
28.5 -16 -19 0
29.5 -16 -19 0
31 -16 -19 0
33 -16 -19 0
36 -16 -19 0
40 -16 -19 0
44 -16 -19 0
48 -16 -19 0
-0.25 -14.5 -19 0
0.25 -14.5 -19 0
0.75 -14.5 -19 0
1.25 -14.5 -19 0
1.75 -14.5 -19 0
2.25 -14.5 -19 0
2.75 -14.5 -19 0
3.25 -14.5 -19 0
3.75 -14.5 -19 0
4.25 -14.5 -19 0
4.75 -14.5 -19 0
