injected_el measured_el potential
1 1 1.30503
1 2 1.30503
1 3 1.30503
1 4 1.30503
1 5 1.30503
1 6 1.11834
1 7 1.09716
1 8 1.0825
1 9 1.07587
1 10 1.14682
1 11 1.14682
1 12 1.14682
1 13 1.14682
1 14 1.14682
1 15 1.10661
1 16 1.09173
1 17 1.07974
1 18 1.07406
1 19 1.11805
1 20 1.11805
1 21 1.11805
1 22 1.11805
1 23 1.11805
1 24 1.09528
1 25 1.08506
1 26 1.07608
1 27 1.07168
1 28 1.10049
1 29 1.10049
1 30 1.10049
1 31 1.10049
1 32 1.10049
1 33 1.08573
1 34 1.07861
1 35 1.07209
1 36 1.06883
1 37 1.14785
1 38 1.14785
1 39 1.14785
1 40 1.14785
1 41 1.14785
1 42 1.10739
1 43 1.09273
1 44 1.08093
1 45 1.07553
1 46 1.12922
1 47 1.12922
1 48 1.12922
1 49 1.12922
1 50 1.12922
1 51 1.10083
1 52 1.08877
1 53 1.0786
1 54 1.07374
1 55 1.11147
1 56 1.11147
1 57 1.11147
1 58 1.11147
1 59 1.11147
1 60 1.09227
1 61 1.08335
1 62 1.07538
1 63 1.07144
1 64 1.09743
1 65 1.09743
1 66 1.09743
1 67 1.09743
1 68 1.09743
1 69 1.08415
1 70 1.07767
1 71 1.07169
1 72 1.0687
1 73 1.11931
1 74 1.11931
1 75 1.11931
1 76 1.11931
1 77 1.11931
1 78 1.09655
1 79 1.08657
1 80 1.0777
1 81 1.07371
1 82 1.11169
1 83 1.11169
1 84 1.11169
1 85 1.11169
1 86 1.11169
1 87 1.09266
1 88 1.08367
1 89 1.07578
1 90 1.072
1 91 1.10151
1 92 1.10151
1 93 1.10151
1 94 1.10151
1 95 1.10151
1 96 1.08677
1 97 1.07963
1 98 1.07312
1 99 1.06989
1 100 1.09154
1 101 1.09154
1 102 1.09154
1 103 1.09154
1 104 1.09154
1 105 1.08049
1 106 1.07501
1 107 1.06992
1 108 1.06736
1 109 1.10155
1 110 1.10155
1 111 1.10155
1 112 1.10155
1 113 1.10155
1 114 1.08723
1 115 1.08022
1 116 1.07367
1 117 1.0709
1 118 1.09744
1 119 1.09744
1 120 1.09744
1 121 1.09744
1 122 1.09744
1 123 1.0846
1 124 1.07796
1 125 1.07208
1 126 1.06931
1 127 1.09133
1 128 1.09133
1 129 1.09133
1 130 1.09133
1 131 1.09133
1 132 1.08042
1 133 1.07496
1 134 1.06991
1 135 1.06742
1 136 1.08449
1 137 1.08449
1 138 1.08449
1 139 1.08449
1 140 1.08449
1 141 1.07574
1 142 1.07134
1 143 1.06723
1 144 1.06516
2 1 1.30503
2 2 1.30503
2 3 1.30503
2 4 1.30503
2 5 1.30503
2 6 1.11834
2 7 1.09716
2 8 1.0825
2 9 1.07587
2 10 1.14682
2 11 1.14682
2 12 1.14682
2 13 1.14682
2 14 1.14682
2 15 1.10661
2 16 1.09173
2 17 1.07974
2 18 1.07406
2 19 1.11805
2 20 1.11805
2 21 1.11805
2 22 1.11805
2 23 1.11805
2 24 1.09528
2 25 1.08506
2 26 1.07608
2 27 1.07168
2 28 1.10049
2 29 1.10049
2 30 1.10049
2 31 1.10049
2 32 1.10049
2 33 1.08573
2 34 1.07861
2 35 1.07209
2 36 1.06883
2 37 1.14785
2 38 1.14785
2 39 1.14785
2 40 1.14785
2 41 1.14785
2 42 1.10739
2 43 1.09273
2 44 1.08093
2 45 1.07553
2 46 1.12922
2 47 1.12922
2 48 1.12922
2 49 1.12922
2 50 1.12922
2 51 1.10083
2 52 1.08877
2 53 1.0786
2 54 1.07374
2 55 1.11147
2 56 1.11147
2 57 1.11147
2 58 1.11147
2 59 1.11147
2 60 1.09227
2 61 1.08335
2 62 1.07538
2 63 1.07144
2 64 1.09743
2 65 1.09743
2 66 1.09743
2 67 1.09743
2 68 1.09743
2 69 1.08415
2 70 1.07767
2 71 1.07169
2 72 1.0687
2 73 1.11931
2 74 1.11931
2 75 1.11931
2 76 1.11931
2 77 1.11931
2 78 1.09655
2 79 1.08657
2 80 1.0777
2 81 1.07371
2 82 1.11169
2 83 1.11169
2 84 1.11169
2 85 1.11169
2 86 1.11169
2 87 1.09266
2 88 1.08367
2 89 1.07578
2 90 1.072
2 91 1.10151
2 92 1.10151
2 93 1.10151
2 94 1.10151
2 95 1.10151
2 96 1.08677
