injected_el measured_el potential
1 1 1.305
1 2 1.305
1 3 1.305
1 4 1.305
1 5 1.305
1 6 1.11832
1 7 1.09716
1 8 1.08253
1 9 1.07593
1 10 1.14679
1 11 1.14679
1 12 1.14679
1 13 1.14679
1 14 1.14679
1 15 1.10661
1 16 1.09173
1 17 1.07978
1 18 1.07411
1 19 1.11803
1 20 1.11803
1 21 1.11803
1 22 1.11803
1 23 1.11803
1 24 1.09529
1 25 1.08508
1 26 1.07612
1 27 1.07172
1 28 1.10047
1 29 1.10047
1 30 1.10047
1 31 1.10047
1 32 1.10047
1 33 1.08574
1 34 1.07863
1 35 1.07212
1 36 1.06887
1 37 1.14781
1 38 1.14781
1 39 1.14781
1 40 1.14781
1 41 1.14781
1 42 1.10735
1 43 1.09275
1 44 1.08098
1 45 1.07563
1 46 1.12919
1 47 1.12919
1 48 1.12919
1 49 1.12919
1 50 1.12919
1 51 1.10084
1 52 1.08878
1 53 1.07865
1 54 1.07381
1 55 1.11144
1 56 1.11144
1 57 1.11144
1 58 1.11144
1 59 1.11144
1 60 1.09228
1 61 1.08338
1 62 1.07543
1 63 1.0715
1 64 1.09741
1 65 1.09741
1 66 1.09741
1 67 1.09741
1 68 1.09741
1 69 1.08416
1 70 1.07769
1 71 1.07173
1 72 1.06875
1 73 1.11927
1 74 1.11927
1 75 1.11927
1 76 1.11927
1 77 1.11927
1 78 1.09657
1 79 1.08663
1 80 1.07777
1 81 1.07382
1 82 1.11165
1 83 1.11165
1 84 1.11165
1 85 1.11165
1 86 1.11165
1 87 1.09271
1 88 1.08371
1 89 1.07584
1 90 1.07209
1 91 1.10149
1 92 1.10149
1 93 1.10149
1 94 1.10149
1 95 1.10149
1 96 1.0868
1 97 1.07968
1 98 1.07318
1 99 1.06996
1 100 1.09153
1 101 1.09153
1 102 1.09153
1 103 1.09153
1 104 1.09153
1 105 1.08051
1 106 1.07505
1 107 1.06997
1 108 1.06742
1 109 1.10152
1 110 1.10152
1 111 1.10152
1 112 1.10152
1 113 1.10152
1 114 1.0873
1 115 1.08032
1 116 1.07376
1 117 1.07103
1 118 1.09741
1 119 1.09741
1 120 1.09741
1 121 1.09741
1 122 1.09741
1 123 1.08471
1 124 1.07804
1 125 1.07215
1 126 1.06942
1 127 1.09131
1 128 1.09131
1 129 1.09131
1 130 1.09131
1 131 1.09131
