injected_el measured_el potential
1 1 1.30529
1 2 1.30529
1 3 1.30529
1 4 1.30529
1 5 1.30529
1 6 1.11855
1 7 1.09728
1 8 1.08237
1 9 1.07555
1 10 1.14705
1 11 1.14705
1 12 1.14705
1 13 1.14705
1 14 1.14705
1 15 1.1067
1 16 1.09173
1 17 1.07958
1 18 1.07379
1 19 1.11825
1 20 1.11825
1 21 1.11825
1 22 1.11825
1 23 1.11825
1 24 1.09533
1 25 1.08501
1 26 1.07592
1 27 1.07146
1 28 1.10065
1 29 1.10065
1 30 1.10065
1 31 1.10065
1 32 1.10065
1 33 1.08575
1 34 1.07856
1 35 1.07195
1 36 1.06865
1 37 1.14821
1 38 1.14821
1 39 1.14821
1 40 1.14821
1 41 1.14821
1 42 1.10788
1 43 1.09291
1 44 1.08077
1 45 1.07498
1 46 1.12952
1 47 1.12952
1 48 1.12952
1 49 1.12952
1 50 1.12952
1 51 1.10093
1 52 1.08876
1 53 1.07836
1 54 1.07331
1 55 1.11171
1 56 1.11171
1 57 1.11171
1 58 1.11171
1 59 1.11171
1 60 1.09229
1 61 1.08325
1 62 1.07512
1 63 1.07111
1 64 1.09762
1 65 1.09762
1 66 1.09762
1 67 1.09762
1 68 1.09762
1 69 1.08414
1 70 1.07756
1 71 1.07148
1 72 1.06844
1 73 1.11975
1 74 1.11975
1 75 1.11975
1 76 1.11975
1 77 1.11975
1 78 1.09683
1 79 1.08651
1 80 1.07742
1 81 1.07296
1 82 1.11204
1 83 1.11204
1 84 1.11204
1 85 1.11204
1 86 1.11204
1 87 1.09262
1 88 1.08357
1 89 1.07545
1 90 1.07143
1 91 1.10178
1 92 1.10178
1 93 1.10178
1 94 1.10178
1 95 1.10178
1 96 1.08673
1 97 1.07945
1 98 1.07278
1 99 1.06945
1 100 1.09175
1 101 1.09175
1 102 1.09175
1 103 1.09175
1 104 1.09175
1 105 1.08045
1 106 1.07485
1 107 1.06964
1 108 1.06702
1 109 1.10202
1 110 1.10202
1 111 1.10202
1 112 1.10202
1 113 1.10202
1 114 1.0871
1 115 1.07989
1 116 1.07328
1 117 1.06998
1 118 1.09781
1 119 1.09781
1 120 1.09781
1 121 1.09781
1 122 1.09781
1 123 1.08432
1 124 1.07773
1 125 1.07164
1 126 1.0686
1 127 1.09161
1 128 1.09161
1 129 1.09161
1 130 1.09161
1 131 1.09161
1 132 1.0803
1 133 1.0747
1 134 1.06949
1 135 1.06687
1 136 1.0847
1 137 1.0847
1 138 1.0847
1 139 1.0847
1 140 1.0847
1 141 1.07565
1 142 1.07112
1 143 1.06688
1 144 1.06474
2 1 1.30529
2 2 1.30529
2 3 1.30529
2 4 1.30529
2 5 1.30529
2 6 1.11855
2 7 1.09728
2 8 1.08237
2 9 1.07555
2 10 1.14705
2 11 1.14705
2 12 1.14705
2 13 1.14705
2 14 1.14705
2 15 1.1067
2 16 1.09173
2 17 1.07958
2 18 1.07379
2 19 1.11825
2 20 1.11825
2 21 1.11825
2 22 1.11825
2 23 1.11825
2 24 1.09533
2 25 1.08501
2 26 1.07592
2 27 1.07146
2 28 1.10065
2 29 1.10065
2 30 1.10065
2 31 1.10065
2 32 1.10065
2 33 1.08575
2 34 1.07856
2 35 1.07195
2 36 1.06865
2 37 1.14821
2 38 1.14821
2 39 1.14821
2 40 1.14821
2 41 1.14821
2 42 1.10788
2 43 1.09291
2 44 1.08077
2 45 1.07498
2 46 1.12952
2 47 1.12952
2 48 1.12952
2 49 1.12952
2 50 1.12952
2 51 1.10093
2 52 1.08876
2 53 1.07836
2 54 1.07331
2 55 1.11171
2 56 1.11171
2 57 1.11171
2 58 1.11171
2 59 1.11171
2 60 1.09229
2 61 1.08325
2 62 1.07512
2 63 1.07111
2 64 1.09762
2 65 1.09762
2 66 1.09762
2 67 1.09762
2 68 1.09762
2 69 1.08414
2 70 1.07756
2 71 1.07148
2 72 1.06844
2 73 1.11975
2 74 1.11975
2 75 1.11975
2 76 1.11975
2 77 1.11975
2 78 1.09683
2 79 1.08651
2 80 1.07742
2 81 1.07296
2 82 1.11204
2 83 1.11204
2 84 1.11204
2 85 1.11204
2 86 1.11204
2 87 1.09262
2 88 1.08357
2 89 1.07545
2 90 1.07143
2 91 1.10178
2 92 1.10178
2 93 1.10178
2 94 1.10178
2 95 1.10178
2 96 1.08673
2 97 1.07945
2 98 1.07278
2 99 1.06945
2 100 1.09175
2 101 1.09175
2 102 1.09175
2 103 1.09175
2 104 1.09175
2 105 1.08045
2 106 1.07485
2 107 1.06964
2 108 1.06702
2 109 1.10202
2 110 1.10202
2 111 1.10202
2 112 1.10202
2 113 1.10202
2 114 1.0871
2 115 1.07989
2 116 1.07328
2 117 1.06998
2 118 1.09781
2 119 1.09781
2 120 1.09781
