injected_el measured_el potential
1 1 -1.71803e+06
1 2 -1.71803e+06
1 3 -1.71803e+06
1 4 -1.71803e+06
1 5 -1.71803e+06
1 6 -663182
1 7 48209.3
1 8 276055
1 9 30621.2
1 10 -508053
1 11 -508053
1 12 -508053
1 13 -508053
1 14 -508053
1 15 -685561
1 16 112835
1 17 426134
1 18 44892.4
1 19 -273398
1 20 -273398
1 21 -273398
1 22 -273398
1 23 -273398
1 24 -174230
1 25 364810
1 26 476141
1 27 46472.7
1 28 -133806
1 29 -133806
1 30 -133806
1 31 -133806
1 32 -133806
1 33 188633
1 34 421625
1 35 352933
1 36 34624.1
1 37 -463687
1 38 -463687
1 39 -463687
1 40 -463687
1 41 -463687
1 42 -370034
1 43 96863.8
1 44 259461
1 45 28343.1
1 46 -372734
1 47 -372734
1 48 -372734
1 49 -372734
1 50 -372734
1 51 -401132
1 52 163349
1 53 364681
1 54 38661.6
1 55 -236801
1 56 -236801
1 57 -236801
1 58 -236801
1 59 -236801
1 60 -118174
1 61 292688
1 62 380824
1 63 38909.3
1 64 -127852
1 65 -127852
1 66 -127852
1 67 -127852
1 68 -127852
1 69 116352
1 70 335453
1 71 308736
1 72 31058.6
1 73 -253829
1 74 -253829
1 75 -253829
1 76 -253829
1 77 -253829
1 78 -143967
1 79 137207
1 80 216524
1 81 23203.5
1 82 -234396
1 83 -234396
1 84 -234396
1 85 -234396
1 86 -234396
1 87 -158542
1 88 194438
1 89 289167
1 90 30381.8
1 91 -167950
1 92 -167950
1 93 -167950
1 94 -167950
1 95 -167950
1 96 -29796.3
1 97 256256
1 98 297257
1 99 30559.9
1 100 -98985.2
1 101 -98985.2
1 102 -98985.2
1 103 -98985.2
1 104 -98985.2
1 105 99249.2
1 106 275977
1 107 252347
1 108 25518.9
1 109 -143071
1 110 -143071
1 111 -143071
1 112 -143071
1 113 -143071
1 114 -29013.7
1 115 141600
1 116 168175
1 117 17732.4
1 118 -139166
1 119 -139166
1 120 -139166
1 121 -139166
1 122 -139166
1 123 -40097.9
1 124 177604
1 125 215336
1 126 22579.1
1 127 -107076
1 128 -107076
1 129 -107076
1 130 -107076
1 131 -107076
1 132 17871.3
1 133 210687
1 134 223456
1 135 23015.4
1 136 -66881
1 137 -66881
1 138 -66881
1 139 -66881
1 140 -66881
1 141 93509.7
1 142 224303
1 143 197234
1 144 19968
2 1 -1.71803e+06
2 2 -1.71803e+06
2 3 -1.71803e+06
2 4 -1.71803e+06
2 5 -1.71803e+06
2 6 -663182
2 7 48209.3
2 8 276055
2 9 30621.2
2 10 -508053
2 11 -508053
2 12 -508053
2 13 -508053
2 14 -508053
2 15 -685561
2 16 112835
2 17 426134
2 18 44892.4
2 19 -273398
2 20 -273398
2 21 -273398
2 22 -273398
2 23 -273398
2 24 -174230
2 25 364810
2 26 476141
2 27 46472.7
2 28 -133806
2 29 -133806
2 30 -133806
2 31 -133806
2 32 -133806
2 33 188633
2 34 421625
2 35 352933
2 36 34624.1
2 37 -463687
2 38 -463687
2 39 -463687
2 40 -463687
2 41 -463687
2 42 -370034
2 43 96863.8
2 44 259461
2 45 28343.1
2 46 -372734
2 47 -372734
2 48 -372734
2 49 -372734
2 50 -372734
2 51 -401132
2 52 163349
2 53 364681
2 54 38661.6
2 55 -236801
2 56 -236801
2 57 -236801
2 58 -236801
2 59 -236801
2 60 -118174
2 61 292688
2 62 380824
2 63 38909.3
2 64 -127852
2 65 -127852
2 66 -127852
2 67 -127852
2 68 -127852
2 69 116352
2 70 335453
2 71 308736
2 72 31058.6
2 73 -253829
2 74 -253829
2 75 -253829
2 76 -253829
2 77 -253829
2 78 -143967
2 79 137207
2 80 216524
2 81 23203.5
2 82 -234396
2 83 -234396
2 84 -234396
2 85 -234396
2 86 -234396
2 87 -158542
2 88 194438
2 89 289167
2 90 30381.8
2 91 -167950
2 92 -167950
2 93 -167950
2 94 -167950
2 95 -167950
2 96 -29796.3
2 97 256256
2 98 297257
2 99 30559.9
2 100 -98985.2
2 101 -98985.2
2 102 -98985.2
2 103 -98985.2
2 104 -98985.2
2 105 99249.2
2 106 275977
2 107 252347
2 108 25518.9
2 109 -143071
2 110 -143071
2 111 -143071
2 112 -143071
2 113 -143071
2 114 -29013.7
2 115 141600
2 116 168175
2 117 17732.4
2 118 -139166
2 119 -139166
2 120 -139166
2 121 -139166
2 122 -139166
2 123 -40097.9
2 124 177604
2 125 215336
2 126 22579.1
2 127 -107076
2 128 -107076
2 129 -107076
2 130 -107076
2 131 -107076
2 132 17871.3
2 133 210687
2 134 223456
2 135 23015.4
2 136 -66881
2 137 -66881
2 138 -66881
2 139 -66881
2 140 -66881
2 141 93509.7
2 142 224303
2 143 197234
2 144 19968
3 1 -1.71803e+06
3 2 -1.71803e+06
3 3 -1.71803e+06
3 4 -1.71803e+06
3 5 -1.71803e+06
3 6 -663182
3 7 48209.3
3 8 276055
3 9 30621.2
3 10 -508053
3 11 -508053
3 12 -508053
3 13 -508053
3 14 -508053
3 15 -685561
3 16 112835
3 17 426134
3 18 44892.4
3 19 -273398
3 20 -273398
3 21 -273398
3 22 -273398
3 23 -273398
3 24 -174230
3 25 364810
3 26 476141
3 27 46472.7
3 28 -133806
3 29 -133806
3 30 -133806
3 31 -133806
3 32 -133806
3 33 188633
3 34 421625
3 35 352933
3 36 34624.1
3 37 -463687
3 38 -463687
3 39 -463687
3 40 -463687
3 41 -463687
3 42 -370034
3 43 96863.8
3 44 259461
3 45 28343.1
3 46 -372734
3 47 -372734
3 48 -372734
3 49 -372734
3 50 -372734
3 51 -401132
3 52 163349
3 53 364681
3 54 38661.6
3 55 -236801
3 56 -236801
3 57 -236801
3 58 -236801
3 59 -236801
3 60 -118174
3 61 292688
3 62 380824
3 63 38909.3
3 64 -127852
3 65 -127852
3 66 -127852
3 67 -127852
3 68 -127852
3 69 116352
3 70 335453
3 71 308736
3 72 31058.6
3 73 -253829
3 74 -253829
